item_0,item_1,item_2,item_3,time_cost
"[1, 512, 1024]",19,0,18,5.2928924560546875e-05
"[1, 512, 512]",21,0,20,5.364418029785156e-05
"[1, 512, 512]",150,0,149,7.62939453125e-05
"[1, 512, 512]",150,0,149,5.555152893066406e-05
"[1, 512, 512]",21,0,20,4.57763671875e-05
"[1, 512, 512]",150,0,149,5.173683166503906e-05
"[1, 512, 512]",150,0,149,5.340576171875e-05
"[1, 512, 512]",150,0,149,5.078315734863281e-05
"[1, 512, 1024]",19,0,18,4.482269287109375e-05
"[1, 512, 1024]",19,0,18,4.5299530029296875e-05
"[1, 512, 512]",21,0,20,4.4345855712890625e-05
"[1, 512, 512]",21,0,20,4.3392181396484375e-05
"[1, 769, 769]",19,0,18,4.38690185546875e-05
"[1, 512, 512]",150,0,149,5.030632019042969e-05
"[1, 769, 769]",19,0,18,4.38690185546875e-05
"[1, 769, 769]",19,0,18,4.458427429199219e-05
"[1, 512, 1024]",19,0,18,4.2438507080078125e-05
"[1, 769, 769]",19,0,18,4.1961669921875e-05
"[1, 512, 512]",150,0,149,4.982948303222656e-05
"[1, 512, 1024]",19,0,18,4.2438507080078125e-05
"[1, 512, 1024]",19,0,18,4.220008850097656e-05
