item_0,item_1,item_2,item_3,item_4,time_cost
"[64, 1600]",,,,,6.151199340820312e-05
"[164, 256]",2,1,,,6.246566772460938e-05
"[32, 512]",2,1,,,4.887580871582031e-05
"[192, 36]",,,,,4.744529724121094e-05
"[32, 128]",,1,,,4.38690185546875e-05
"[9, 1600, 2304]",,2,,,0.00014209747314453125
"[2, 512, 64]",2,1,,,7.724761962890625e-05
"[57, 256]",2,1,,,5.1021575927734375e-05
"[32, 2048, 49]",,1,,,7.963180541992188e-05
"[1, 150, 1024]",2,2,,,7.05718994140625e-05
"[256, 128]",2,1,,,5.245208740234375e-05
"[109, 52]",,,,,4.57763671875e-05
"[148, 36]",,,,,4.3392181396484375e-05
"[96, 256]",2,1,,,4.792213439941406e-05
"[1, 1600, 1024]",2,2,,,6.151199340820312e-05
"[79, 256]",2,1,,,5.0067901611328125e-05
"[32, 2048]",,1,,,5.5789947509765625e-05
"[80, 256]",2,1,,,4.887580871582031e-05
"[25, 1600]",,,,,5.340576171875e-05
"[5782, 256]",,,,,6.008148193359375e-05
"[3409, 256]",,,,,6.031990051269531e-05
"[9448, 256]",,,,,6.079673767089844e-05
"[2, 9409, 64]",1,1,,,7.700920104980469e-05
"[1, 1024, 192]",2,2,,,5.91278076171875e-05
"[1, 512, 64]",2,1,,,5.1021575927734375e-05
"[256, 256]",,1,,,5.507469177246094e-05
"[2, 8192, 64]",1,1,,,6.604194641113281e-05
"[109, 36]",,,,,5.054473876953125e-05
"[86, 256]",2,1,,,5.412101745605469e-05
"[43, 256]",2,1,,,4.506111145019531e-05
"[3397, 256]",,,,,5.9604644775390625e-05
"[128, 256]",,1,,,4.863739013671875e-05
"[80, 1600]",,,,,5.745887756347656e-05
"[32, 512]",2,-1,,,4.9114227294921875e-05
"[128, 65536]",,0,,,0.00012063980102539062
"[192, 52]",,,,,4.601478576660156e-05
"[38, 256]",2,1,,,4.4345855712890625e-05
"[23, 256]",2,1,,,4.291534423828125e-05
"[3000, 128]",2,1,,,7.605552673339844e-05
"[115, 52]",,,,,4.4345855712890625e-05
"[6042, 256]",,,,,5.9604644775390625e-05
"[236, 256]",2,1,,,5.4836273193359375e-05
"[100, 1600]",,,,,5.8650970458984375e-05
"[244, 256]",2,1,,,5.2928924560546875e-05
"[10, 1600]",,,,,4.76837158203125e-05
"[29, 256]",2,1,,,4.291534423828125e-05
"[176, 256]",2,1,,,5.1021575927734375e-05
"[68, 256]",2,1,,,4.57763671875e-05
"[32, 128, 49]",,1,,,5.91278076171875e-05
"[256, 256]",2,1,,,5.340576171875e-05
"[160, 256]",2,1,,,5.078315734863281e-05
"[192, 256]",2,1,,,5.078315734863281e-05
"[50, 1600]",,,,,5.412101745605469e-05
"[115, 36]",,,,,4.9591064453125e-05
"[148, 52]",,,,,4.291534423828125e-05
"[32, 32, 512]",2,2,,,5.91278076171875e-05
"[1, 150, 192]",2,2,,,5.078315734863281e-05
"[1281167, 128]",,,,,0.00016021728515625
"[32, 128]",,,,,5.984306335449219e-05
"[48, 256]",2,1,,,5.3882598876953125e-05
"[9, 2304, 1600]",,1,,,0.0001728534698486328
