item_0,item_1,item_2,item_3,time_cost
"[1, 30, 22]",[2],[],[],5.173683166503906e-05
"[1, 15, 18]",[2],[],[],4.0531158447265625e-05
"[1, 21, 20]",[2],[],[],3.647804260253906e-05
"[1, 22, 19]",[1],[],[],3.600120544433594e-05
"[1, 15, 18]",[1],[],[],3.4332275390625e-05
"[1, 24, 30]",[1],[],[],3.695487976074219e-05
"[1, 21, 25]",[1],[],[],3.600120544433594e-05
"[1, 24, 30]",[2],[],[],3.647804260253906e-05
"[1, 22, 19]",[2],[],[],3.504753112792969e-05
"[1, 22, 23]",[2],[],[],3.528594970703125e-05
"[1, 26, 24]",[1],[],[],3.6716461181640625e-05
"[1, 25, 28]",[1],[],[],3.600120544433594e-05
"[1, 18, 15]",[1],[],[],3.361701965332031e-05
"[1, 25, 28]",[2],[],[],3.6716461181640625e-05
"[1, 21, 20]",[1],[],[],3.457069396972656e-05
"[1, 22, 23]",[1],[],[],4.315376281738281e-05
"[1, 21, 25]",[2],[],[],3.552436828613281e-05
"[1, 26, 24]",[2],[],[],3.552436828613281e-05
"[1, 18, 15]",[2],[],[],3.3855438232421875e-05
"[1, 30, 22]",[1],[],[],3.5762786865234375e-05
