item_0,time_cost
"[128, 256]",0.0017590522766113281
"[71, 2]",0.00043845176696777344
"[256, 10]",0.0004024505615234375
"[10, 128]",0.0012710094451904297
"[256, 128]",0.00067138671875
"[12, 2]",0.0006456375122070312
"[128, 1152]",0.0010907649993896484
"[128, 1]",0.0006308555603027344
"[128, 16]",0.0006268024444580078
"[9, 2]",0.0006453990936279297
"[128, 1920]",0.0006380081176757812
"[2304, 3]",0.0006339550018310547
"[57, 2]",0.0006248950958251953
"[2304, 256]",0.0006253719329833984
"[31, 2]",0.0006358623504638672
"[70, 2]",0.0006780624389648438
"[2560, 128]",0.0006396770477294922
"[128, 2560]",0.0006833076477050781
"[6, 2]",0.0006399154663085938
"[1, 128]",0.0006394386291503906
"[128, 64]",0.0006375312805175781
"[10, 256]",0.0006320476531982422
"[1152, 128]",0.0006394386291503906
"[16, 128]",0.0006442070007324219
"[42, 2]",0.0006339550018310547
"[3, 2304]",0.0006256103515625
"[256, 2304]",0.0006377696990966797
"[128, 10]",0.0006320476531982422
"[256, 32]",0.0006203651428222656
"[32, 256]",0.000629425048828125
"[45, 2]",0.0006470680236816406
"[1920, 128]",0.0007135868072509766
"[65, 2]",0.0006272792816162109
"[64, 128]",0.0006325244903564453
