input_size,kernel_size,bias,stride,padding,dilation,groups,time_cost
"[2, 256, 200, 336]","[128, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.0034029483795166016
"[1, 256, 25, 40]","[12, 256, 1, 1]",[12],"[1, 1]","[0, 0]","[1, 1]",[1],0.0015718936920166016
"[2, 256, 50, 70]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.006175041198730469
"[4, 112, 14, 14]","[672, 112, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0037097930908203125
"[32, 3, 48, 160]","[64, 3, 3, 3]",[64],"[1, 1]","[1, 1]","[1, 1]",[1],0.0011708736419677734
"[2, 2048, 64, 64]","[2048, 1, 3, 3]",[False],"[1, 1]","[12, 12]","[12, 12]",[2048],0.0029823780059814453
"[2, 256, 100, 152]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.0012810230255126953
"[2, 256, 19, 13]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.0013909339904785156
"[1, 256, 25, 34]","[3, 256, 1, 1]",[3],"[1, 1]","[0, 0]","[1, 1]",[1],0.0010426044464111328
"[4, 832, 7, 7]","[128, 832, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0031020641326904297
"[2, 256, 25, 34]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.010611534118652344
"[1, 256, 192, 240]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0017514228820800781
"[1, 64, 175, 152]","[256, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0011463165283203125
"[1, 256, 12, 12]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.004426717758178711
"[2, 256, 25, 39]","[256, 256, 3, 3]",[256],"[2, 2]","[1, 1]","[1, 1]",[1],0.01404428482055664
"[1, 256, 202, 192]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.002500772476196289
"[1, 256, 38, 25]","[256, 256, 3, 3]",[256],"[2, 2]","[1, 1]","[1, 1]",[1],0.01106405258178711
"[2, 2816, 16, 16]","[512, 2816, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.2338559627532959
"[1, 512, 100, 160]","[1024, 512, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.026196002960205078
"[2, 256, 34, 25]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.001973390579223633
"[1, 1024, 76, 50]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005701541900634766
"[1, 256, 272, 200]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0014634132385253906
"[1, 192, 48, 52]","[96, 192, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0012466907501220703
"[2, 256, 25, 42]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.0014882087707519531
"[2, 256, 7, 11]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.0013277530670166016
"[1, 512, 76, 50]","[512, 512, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.03672289848327637
"[1, 256, 38, 38]","[512, 256, 3, 3]",[512],"[1, 1]","[1, 1]","[1, 1]",[1],0.022441625595092773
"[2, 256, 68, 50]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.0055468082427978516
"[1, 96, 64, 96]","[24, 96, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.002003908157348633
"[1, 144, 64, 96]","[144, 1, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[144],0.0008709430694580078
"[1, 1024, 50, 68]","[256, 1024, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.0063419342041015625
"[8, 128, 32, 24]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.006478309631347656
"[2, 768, 3, 3]","[512, 768, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.008651018142700195
"[2, 256, 100, 152]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.005600929260253906
"[1, 256, 200, 320]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.002391815185546875
"[2, 1024, 50, 84]","[256, 1024, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.0075223445892333984
"[4, 544, 7, 7]","[128, 544, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.004292011260986328
"[1, 256, 136, 100]","[12, 256, 1, 1]",[12],"[1, 1]","[0, 0]","[1, 1]",[1],0.0020449161529541016
"[4, 960, 7, 7]","[320, 960, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.007814168930053711
"[1, 256, 35, 30]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.006476879119873047
"[2, 256, 25, 38]","[256, 256, 3, 3]",[256],"[2, 2]","[1, 1]","[1, 1]",[1],0.01217031478881836
"[1, 64, 300, 300]","[64, 64, 3, 3]",[64],"[1, 1]","[1, 1]","[1, 1]",[1],0.0032532215118408203
"[1, 96, 32, 48]","[255, 96, 1, 1]",[255],"[1, 1]","[0, 0]","[1, 1]",[1],0.0015821456909179688
"[1, 64, 200, 272]","[256, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0013039112091064453
"[1, 128, 69, 60]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.004749774932861328
"[1, 256, 168, 193]","[512, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.00566411018371582
"[1, 512, 101, 96]","[128, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.002740144729614258
