{'item_0': [8, 8], 'item_1': [8], 'time_cost': '2.3933675289154053'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::linalg_lstsq         0.04%     927.000us       199.95%        4.785s        2.393s      35.000us        83.33%      84.000us      42.000us           0 b           0 b       1.00 Kb      -3.50 Kb             2  
void geqr2_smem<double, double, 8, 5, 5>(int, int, d...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us        57.14%      24.000us      24.000us           0 b           0 b           0 b           0 b             1  
void ormqr_cta_kernel<double, 4, 1>(int, int, int, d...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        11.90%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void batch_trsm_left_kernel<double, 64, 4, 3, false,...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        11.90%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.00%      38.000us         0.00%      75.000us      37.500us       3.000us         7.14%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         7.14%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                              aten::_local_scalar_dense         0.00%       6.000us         0.00%      49.000us      49.000us       2.000us         4.76%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         4.76%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.00%      48.000us        99.89%        2.391s     796.842ms       1.000us         2.38%       1.000us       0.333us           0 b           0 b           0 b           0 b             3  
