{'item_0': [2, 71], 'item_1': [71], 'item_2': [182403, 80], 'time_cost': '2.013603448867798'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.00%      82.000us        99.90%        2.011s     402.236ms      11.000us        42.31%      11.000us       2.200us           0 b           0 b           0 b           0 b             5  
                                              aten::min         0.01%     116.000us         0.01%     190.000us     190.000us       8.000us        30.77%       8.000us       8.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us        30.77%       8.000us       8.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         0.00%      86.000us         0.01%     121.000us     121.000us       7.000us        26.92%       7.000us       7.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        26.92%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        23.08%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        11.54%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         7.69%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         0.00%      59.000us        99.97%        2.013s     335.422ms       0.000us         0.00%      11.000us       1.833us          32 b           0 b       4.00 Kb           0 b             6  
                                         aten::_to_copy         0.01%     136.000us        99.97%        2.012s     402.494ms       0.000us         0.00%      11.000us       2.200us          32 b           0 b       4.00 Kb           0 b             5  
