{'item_0': 3000, 'time_cost': '0.034516334533691406'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::topk         1.51%     342.000us         1.85%     420.000us     105.000us     172.000us        32.64%     172.000us      43.000us           0 b           0 b     282.00 Kb     282.00 Kb             4            --  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     113.000us        21.44%     113.000us      28.250us           0 b           0 b           0 b           0 b             4            --  
                                            aten::copy_         7.74%       1.755ms        15.40%       3.492ms      91.895us      83.000us        15.75%      89.000us       2.342us           0 b     -11.78 Kb           0 b           0 b            38            --  
void at::native::bitonicSortKVInPlace<float, long, 2...         0.00%       0.000us         0.00%       0.000us       0.000us      59.000us        11.20%      59.000us      14.750us           0 b           0 b           0 b           0 b             4            --  
                                 aten::_index_put_impl_         6.07%       1.377ms        17.44%       3.955ms     494.375us      58.000us        11.01%      87.000us      10.875us           0 b           0 b           0 b    -190.00 Kb             8            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      58.000us        11.01%      58.000us       7.250us           0 b           0 b           0 b           0 b             8            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      45.000us         8.54%      45.000us       3.214us           0 b           0 b           0 b           0 b            14            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      43.000us         8.16%      43.000us       4.300us           0 b           0 b           0 b           0 b            10            --  
                                              aten::sub         3.68%     835.000us         4.31%     978.000us      81.500us      36.000us         6.83%      36.000us       3.000us           0 b           0 b     354.00 Kb     354.00 Kb            12            --  
                                              aten::mul         3.65%     827.000us         4.29%     973.000us      81.083us      31.000us         5.88%      31.000us       2.583us           0 b           0 b     284.00 Kb     284.00 Kb            12        24.016  
                                              aten::add         3.51%     796.000us         4.20%     952.000us      95.200us      30.000us         5.69%      30.000us       3.000us           0 b           0 b     144.00 Kb     144.00 Kb            10        18.016  
                                               aten::lt         3.33%     755.000us         3.78%     857.000us     107.125us      28.000us         5.31%      28.000us       3.500us           0 b           0 b      60.00 Kb      60.00 Kb             8            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      25.000us         4.74%      25.000us       3.125us           0 b           0 b           0 b           0 b             8            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.000us         3.98%      21.000us       2.100us           0 b           0 b           0 b           0 b            10            --  
                                             aten::_cat         1.98%     448.000us         3.10%     703.000us     140.600us      21.000us         3.98%      21.000us       4.200us           0 b           0 b     703.50 Kb           0 b             5            --  
                                              aten::div         1.94%     440.000us         2.26%     513.000us      85.500us      20.000us         3.80%      20.000us       3.333us           0 b           0 b     212.00 Kb     212.00 Kb             6            --  
                                              aten::abs         4.08%     926.000us         8.94%       2.027ms     126.688us      19.000us         3.61%      38.000us       2.375us           0 b           0 b     752.00 Kb           0 b            16            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         3.61%      19.000us       2.375us           0 b           0 b           0 b           0 b             8            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         3.42%      18.000us       4.500us           0 b           0 b           0 b           0 b             4            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         3.04%      16.000us       4.000us           0 b           0 b           0 b           0 b             4            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         3.04%      16.000us       4.000us           0 b           0 b           0 b           0 b             4            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.000us         2.66%      14.000us       3.500us           0 b           0 b           0 b           0 b             4            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         2.28%      12.000us       3.000us           0 b           0 b           0 b           0 b             4            --  
                                            aten::fill_         0.68%     154.000us         0.95%     216.000us      43.200us      11.000us         2.09%      11.000us       2.200us           0 b           0 b           0 b           0 b             5            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.000us         1.90%      10.000us       1.111us           0 b           0 b           0 b           0 b             9            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.000us         1.90%      10.000us       2.500us           0 b           0 b           0 b           0 b             4            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         1.71%       9.000us       2.250us           0 b           0 b           0 b           0 b             4            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         1.52%       8.000us       2.000us           0 b           0 b           0 b           0 b             4            --  
                                         aten::scatter_         0.41%      93.000us         0.50%     114.000us     114.000us       6.000us         1.14%       6.000us       6.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         1.14%       6.000us       6.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::eq         0.80%     182.000us         0.92%     208.000us     104.000us       6.000us         1.14%       6.000us       3.000us           0 b           0 b      94.00 Kb      94.00 Kb             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         1.14%       6.000us       3.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.95%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.95%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.57%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                      aten::bitwise_and         0.44%      99.000us         0.53%     120.000us     120.000us       3.000us         0.57%       3.000us       3.000us           0 b           0 b      47.00 Kb      47.00 Kb             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.57%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                      aten::bitwise_not         0.35%      79.000us         0.41%      92.000us      92.000us       3.000us         0.57%       3.000us       3.000us           0 b           0 b      47.00 Kb      47.00 Kb             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.57%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::to         2.64%     599.000us        24.20%       5.487ms     177.000us       0.000us         0.00%      58.000us       1.871us      11.78 Kb           0 b     650.50 Kb           0 b            31            --  
                                            aten::slice         8.64%       1.959ms         9.92%       2.250ms      51.136us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            44            --  
                                       aten::as_strided         3.37%     763.000us         3.37%     763.000us       6.203us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           123            --  
