{'item_0': 128, 'time_cost': '0.004087209701538086'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::_cat         2.76%     103.000us         4.26%     159.000us     159.000us       4.000us        25.00%       4.000us       4.000us           0 b           0 b       2.00 Kb           0 b             1  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        25.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                             aten::div_         1.45%      54.000us         1.74%      65.000us      65.000us       4.000us        25.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        25.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
               fused_add_mul_add_mu_1491659449465135973         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        18.75%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                             aten::sub_         1.66%      62.000us         2.04%      76.000us      76.000us       3.000us        18.75%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        18.75%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         1.77%      66.000us         2.79%     104.000us      52.000us       2.000us        12.50%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        12.50%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                             bbox2delta        23.30%     870.000us        99.84%       3.728ms       3.728ms       0.000us         0.00%      13.000us      13.000us           0 b          -8 b       2.00 Kb      -3.00 Kb             1  
