{'item_0': 18, 'item_1': 18, 'time_cost': '6.706372499465942'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.00%      79.000us        99.98%        6.704s        3.352s       3.000us        75.00%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        50.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        25.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.00%      23.000us         0.00%      85.000us      85.000us       1.000us        25.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        25.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         0.00%     260.000us       199.98%       13.410s        6.705s       0.000us         0.00%       6.000us       3.000us           0 b           0 b       3.00 Kb           0 b             2  
                                            aten::empty         0.02%       1.044ms         0.02%       1.044ms       1.044ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.00%      32.000us         0.00%      32.000us      32.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.50 Kb       1.50 Kb             1  
                                            aten::zero_         0.00%      37.000us        99.98%        6.704s        6.704s       0.000us         0.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        99.98%        6.704s        99.98%        6.704s        3.352s       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
