{'item_0': 4, 'item_1': 12, 'item_2': 12, 'time_cost': '0.009484529495239258'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::gt        25.83%       1.360ms        30.02%       1.581ms      98.812us      36.000us        65.45%      36.000us       2.250us           0 b           0 b       8.00 Kb       8.00 Kb            16  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us        65.45%      36.000us       2.250us           0 b           0 b           0 b           0 b            16  
                              aten::_local_scalar_dense         4.22%     222.000us        11.11%     585.000us      36.562us      17.000us        30.91%      17.000us       1.062us           0 b           0 b           0 b           0 b            16  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      17.000us        30.91%      17.000us       1.062us           0 b           0 b           0 b           0 b            16  
                                            aten::copy_         1.18%      62.000us         1.99%     105.000us      52.500us       2.000us         3.64%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         3.64%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                           aten::unbind         8.89%     468.000us        20.07%       1.057ms     211.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                                           aten::select        21.99%       1.158ms        25.66%       1.351ms      37.528us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                       aten::as_strided         3.87%     204.000us         3.87%     204.000us       5.368us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            38  
                                       cudaLaunchKernel         4.20%     221.000us         4.20%     221.000us      13.812us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
