id,source_neural_network,num_of_calls,parameters
#0,configs--animal--2d_kpt_sview_rgb_img--topdown_heatmap--horse10--hrnet_w48_horse10_256x256-split2.py,6,"{'input_shape': [[2, 22, 64, 64]], 'reshape_shape': [[2, 22, -1]]}"
#1,configs--animal--2d_kpt_sview_rgb_img--topdown_heatmap--horse10--hrnet_w48_horse10_256x256-split2.py,4,"{'input_shape': [[1, 22, 64, 64]], 'reshape_shape': [[1, 22, -1]]}"
#2,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,1,"{'input_shape': [[1, 1777844]], 'reshape_shape': [[-1]]}"
#3,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,1,"{'input_shape': [[1, 1957690]], 'reshape_shape': [[-1]]}"
#4,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,1,"{'input_shape': [[1, 2042390]], 'reshape_shape': [[-1]]}"
#5,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,1,"{'input_shape': [[1, 2010910]], 'reshape_shape': [[-1]]}"
#6,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,1,"{'input_shape': [[1, 2007553]], 'reshape_shape': [[-1]]}"
#7,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_shape': [[2, 256, 97, 97]], 'reshape_shape': [[2, 256, -1]]}"
#8,ann_r101-d8_769x769_40k_cityscapes,20,"{'input_shape': [[2, 256, 110]], 'reshape_shape': [[2, 256, -1]]}"
#9,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_shape': [[2, 256, 9409]], 'reshape_shape': [[2, -1, 97, 97]]}"
#10,ann_r101-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1094395]], 'reshape_shape': [[-1]]}"
#11,ann_r101-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1172078]], 'reshape_shape': [[-1]]}"
#12,ann_r101-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1149756]], 'reshape_shape': [[-1]]}"
