id,source_neural_network,num_of_calls,parameters
#0,configs--face--2d_kpt_sview_rgb_img--topdown_heatmap--wflw--hrnetv2_w18_wflw_256x256_awing.py,10,"{'input_tensor': [[2, 98, 1]], 'dim': [[-1]]}"
#1,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,5,"{'input_tensor': [[4, 512, 1024]], 'dim': [[0]]}"
#2,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 769, 769]], 'dim': [[0]]}"
#3,ccnet_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 769, 769]], 'dim': [[0]]}"
#4,pspnet_r101-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 512, 1024]], 'dim': [[0]]}"
#5,apcnet_r101-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 512, 1024]], 'dim': [[0]]}"
#6,fcn_r50-d8_480x480_80k_pascal_context,10,"{'input_tensor': [[4, 480, 480]], 'dim': [[0]]}"
#7,fcn_hr48_512x512_80k_potsdam,5,"{'input_tensor': [[4, 512, 512]], 'dim': [[0]]}"
#8,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,300,"{'input_tensor': [[2, 32]], 'dim': [[1]]}"
#9,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,300,"{'input_tensor': [[3, 3]], 'dim': [[0]]}"
#10,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[128, 2]], 'dim': [[0]]}"
#11,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,300,"{'input_tensor': [[128]], 'dim': [[0]]}"
#12,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[4]], 'dim': [[0]]}"
#13,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 3]], 'dim': [[0]]}"
#14,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[1, 36, 36, 2]], 'dim': [[3]]}"
#15,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 2, 128]], 'dim': [[1]]}"
#16,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 1, 2, 128]], 'dim': [[2]]}"
#17,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,600,"{'input_tensor': [[2, 128]], 'dim': [[1]]}"
#18,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,200,"{'input_tensor': [[2, 1, 128]], 'dim': [[2]]}"
#19,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[128, 128, 3, 3]], 'dim': [[0]]}"
#20,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,400,"{'input_tensor': [[2, 1, 128]], 'dim': [[3]]}"
#21,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,400,"{'input_tensor': [[2, 1, 128, 1]], 'dim': [[4]]}"
#22,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 128]], 'dim': [[2]]}"
#23,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 128, 1]], 'dim': [[3]]}"
#24,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 128, 1, 1]], 'dim': [[4]]}"
#25,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[108, 128, 3, 3]], 'dim': [[0]]}"
#26,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 108]], 'dim': [[2]]}"
#27,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 108, 1]], 'dim': [[3]]}"
#28,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 108, 1, 1]], 'dim': [[4]]}"
#29,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[108]], 'dim': [[0]]}"
#30,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[91, 108, 3, 3]], 'dim': [[0]]}"
#31,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,200,"{'input_tensor': [[2, 108]], 'dim': [[1]]}"
#32,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,200,"{'input_tensor': [[2, 1, 108]], 'dim': [[3]]}"
#33,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,200,"{'input_tensor': [[2, 1, 108, 1]], 'dim': [[4]]}"
#34,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 91]], 'dim': [[2]]}"
#35,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 91, 1]], 'dim': [[3]]}"
#36,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 91, 1, 1]], 'dim': [[4]]}"
#37,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[91]], 'dim': [[0]]}"
#38,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[76, 91, 3, 3]], 'dim': [[0]]}"
#39,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,200,"{'input_tensor': [[2, 91]], 'dim': [[1]]}"
#40,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,200,"{'input_tensor': [[2, 1, 91]], 'dim': [[3]]}"
#41,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,200,"{'input_tensor': [[2, 1, 91, 1]], 'dim': [[4]]}"
#42,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 76]], 'dim': [[2]]}"
#43,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 76, 1]], 'dim': [[3]]}"
#44,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 76, 1, 1]], 'dim': [[4]]}"
