id,source_neural_network,num_of_calls,parameters
#0,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[15213]]}
#1,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[8349]]}
#2,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[22816]]}
#3,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[5704]]}
#4,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[1426]]}
#5,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,{'nonzero_0': [[384]]}
#6,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,{'nonzero_0': [[96]]}
#7,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[10539]]}
#8,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[16368]]}
#9,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[24576]]}
#10,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[6144]]}
#11,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[1536]]}
#12,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[9980]]}
#13,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[10140]]}
#14,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[15808]]}
#15,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[3952]]}
#16,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[988]]}
#17,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[260]]}
#18,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[70]]}
#19,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[15345]]}
#20,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[11085]]}
#21,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[23040]]}
#22,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[5760]]}
#23,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[1440]]}
#24,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[360]]}
#25,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[90]]}
#26,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[10311]]}
#27,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,{'nonzero_0': [[12544]]}
#28,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[18816]]}
#29,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[4704]]}
#30,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[1176]]}
#31,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[308]]}
#32,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,{'nonzero_0': [[84]]}
#33,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[24480]]}
#34,attention-rpn_r50_c4_voc-split1_base-training,1,{'nonzero_0': [[48960]]}
#35,attention-rpn_r50_c4_voc-split1_base-training,16,{'nonzero_0': [[12000]]}
#36,attention-rpn_r50_c4_voc-split1_base-training,10,{'nonzero_0': [[2000]]}
#37,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[2003]]}
#38,attention-rpn_r50_c4_voc-split1_base-training,10,{'nonzero_0': [[256]]}
#39,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[16380]]}
#40,attention-rpn_r50_c4_voc-split1_base-training,1,{'nonzero_0': [[32760]]}
#41,attention-rpn_r50_c4_voc-split1_base-training,2,{'nonzero_0': [[11997]]}
#42,attention-rpn_r50_c4_voc-split1_base-training,12,{'nonzero_0': [[2001]]}
#43,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[18900]]}
#44,attention-rpn_r50_c4_voc-split1_base-training,1,{'nonzero_0': [[37800]]}
#45,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[2002]]}
#46,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[26550]]}
#47,attention-rpn_r50_c4_voc-split1_base-training,1,{'nonzero_0': [[53100]]}
#48,attention-rpn_r50_c4_voc-split1_base-training,2,{'nonzero_0': [[11998]]}
#49,attention-rpn_r50_c4_voc-split1_base-training,4,{'nonzero_0': [[15750]]}
#50,attention-rpn_r50_c4_voc-split1_base-training,1,{'nonzero_0': [[31500]]}
#51,yolact_r50_8x8_coco,200,{'nonzero_0': [[19248]]}
#52,dh_faster_rcnn_r50_fpn_1x_coco,12,{'nonzero_0': [[217413]]}
#53,dh_faster_rcnn_r50_fpn_1x_coco,3,{'nonzero_0': [[326400]]}
#54,dh_faster_rcnn_r50_fpn_1x_coco,3,{'nonzero_0': [[81600]]}
#55,dh_faster_rcnn_r50_fpn_1x_coco,3,{'nonzero_0': [[20400]]}
#56,dh_faster_rcnn_r50_fpn_1x_coco,3,{'nonzero_0': [[5100]]}
#57,dh_faster_rcnn_r50_fpn_1x_coco,3,{'nonzero_0': [[1326]]}
#58,dh_faster_rcnn_r50_fpn_1x_coco,10,{'nonzero_0': [[1000]]}
#59,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1015]]}
#60,dh_faster_rcnn_r50_fpn_1x_coco,4,{'nonzero_0': [[1001]]}
#61,dh_faster_rcnn_r50_fpn_1x_coco,42,{'nonzero_0': [[1024]]}
#62,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1007]]}
#63,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1006]]}
#64,dh_faster_rcnn_r50_fpn_1x_coco,6,{'nonzero_0': [[242991]]}
#65,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[204624]]}
#66,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[364800]]}
#67,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[91200]]}
#68,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[22800]]}
#69,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[5700]]}
#70,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1482]]}
#71,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1017]]}
#72,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1003]]}
#73,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1013]]}
#74,dh_faster_rcnn_r50_fpn_1x_coco,2,{'nonzero_0': [[1002]]}
#75,faster_rcnn_r50_fpn_groie_1x_coco,8,{'nonzero_0': [[217413]]}
#76,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[236616]]}
#77,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[355200]]}
#78,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[88800]]}
#79,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[22200]]}
#80,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[5550]]}
#81,faster_rcnn_r50_fpn_groie_1x_coco,4,{'nonzero_0': [[1482]]}
#82,faster_rcnn_r50_fpn_groie_1x_coco,10,{'nonzero_0': [[1000]]}
#83,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1004]]}
#84,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1018]]}
#85,faster_rcnn_r50_fpn_groie_1x_coco,8,{'nonzero_0': [[242991]]}
#86,faster_rcnn_r50_fpn_groie_1x_coco,3,{'nonzero_0': [[364800]]}
#87,faster_rcnn_r50_fpn_groie_1x_coco,3,{'nonzero_0': [[91200]]}
#88,faster_rcnn_r50_fpn_groie_1x_coco,3,{'nonzero_0': [[22800]]}
#89,faster_rcnn_r50_fpn_groie_1x_coco,3,{'nonzero_0': [[5700]]}
#90,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1008]]}
#91,faster_rcnn_r50_fpn_groie_1x_coco,4,{'nonzero_0': [[1007]]}
#92,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[255780]]}
#93,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[384000]]}
#94,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[96000]]}
#95,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[24000]]}
#96,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[6000]]}
#97,faster_rcnn_r50_fpn_groie_1x_coco,1,{'nonzero_0': [[1560]]}
#98,faster_rcnn_r50_fpn_groie_1x_coco,4,{'nonzero_0': [[1002]]}
#99,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1001]]}
#100,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1003]]}
#101,faster_rcnn_r50_fpn_groie_1x_coco,2,{'nonzero_0': [[1016]]}
#102,ddod_r50_fpn_1x_coco,30,{'nonzero_0': [[18134]]}
#103,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 13600]]}"
#104,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 3400]]}"
#105,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 850]]}"
#106,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 221]]}"
#107,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 63]]}"
#108,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[27200]]}
#109,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[6800]]}
#110,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[1700]]}
#111,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[442]]}
#112,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[126]]}
#113,ddod_r50_fpn_1x_coco,6,{'nonzero_0': [[19742]]}
#114,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 14800]]}"
#115,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 3700]]}"
#116,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 925]]}"
#117,ddod_r50_fpn_1x_coco,4,"{'nonzero_0': [[2, 247]]}"
#118,ddod_r50_fpn_1x_coco,4,"{'nonzero_0': [[2, 70]]}"
#119,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[29600]]}
#120,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[7400]]}
#121,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[1850]]}
#122,ddod_r50_fpn_1x_coco,4,{'nonzero_0': [[494]]}
#123,ddod_r50_fpn_1x_coco,4,{'nonzero_0': [[140]]}
#124,ddod_r50_fpn_1x_coco,12,{'nonzero_0': [[20267]]}
#125,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 15200]]}"
#126,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 3800]]}"
#127,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 950]]}"
#128,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[30400]]}
#129,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[7600]]}
#130,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[1900]]}
#131,ddod_r50_fpn_1x_coco,6,{'nonzero_0': [[21875]]}
#132,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 16400]]}"
#133,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 4100]]}"
#134,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 1025]]}"
#135,ddod_r50_fpn_1x_coco,4,"{'nonzero_0': [[2, 273]]}"
#136,ddod_r50_fpn_1x_coco,4,"{'nonzero_0': [[2, 77]]}"
#137,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[32800]]}
#138,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[8200]]}
#139,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[2050]]}
#140,ddod_r50_fpn_1x_coco,4,{'nonzero_0': [[546]]}
#141,ddod_r50_fpn_1x_coco,4,{'nonzero_0': [[154]]}
#142,ddod_r50_fpn_1x_coco,6,{'nonzero_0': [[21486]]}
#143,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 16800]]}"
#144,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 4200]]}"
#145,ddod_r50_fpn_1x_coco,2,"{'nonzero_0': [[2, 1050]]}"
#146,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[33600]]}
#147,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[8400]]}
#148,ddod_r50_fpn_1x_coco,2,{'nonzero_0': [[2100]]}
#149,decoupled_solo_r50_fpn_1x_coco,5,{'nonzero_0': [[4]]}
#150,decoupled_solo_r50_fpn_1x_coco,10,"{'nonzero_0': [[40, 40]]}"
#151,decoupled_solo_r50_fpn_1x_coco,10,"{'nonzero_0': [[36, 36]]}"
#152,decoupled_solo_r50_fpn_1x_coco,10,"{'nonzero_0': [[24, 24]]}"
#153,decoupled_solo_r50_fpn_1x_coco,10,"{'nonzero_0': [[16, 16]]}"
#154,decoupled_solo_r50_fpn_1x_coco,10,"{'nonzero_0': [[12, 12]]}"
#155,decoupled_solo_r50_fpn_1x_coco,10,{'nonzero_0': [[1]]}
#156,decoupled_solo_r50_fpn_1x_coco,5,{'nonzero_0': [[10]]}
#157,decoupled_solo_r50_fpn_1x_coco,15,{'nonzero_0': [[2]]}
#158,decoupled_solo_r50_fpn_1x_coco,5,{'nonzero_0': [[5]]}
#159,decoupled_solo_r50_fpn_1x_coco,5,{'nonzero_0': [[18]]}
#160,decoupled_solo_r50_fpn_1x_coco,5,{'nonzero_0': [[7]]}
#161,yolov3_mobilenetv2_mstrain-416_300e_coco,2,{'nonzero_0': [[5733]]}
#162,yolov3_mobilenetv2_mstrain-416_300e_coco,4,{'nonzero_0': [[8190]]}
#163,yolov3_mobilenetv2_mstrain-416_300e_coco,2,{'nonzero_0': [[9828]]}
#164,yolov3_mobilenetv2_mstrain-416_300e_coco,2,{'nonzero_0': [[6048]]}
#165,bbox_r50_grid_fpn_gn-neck+head_1x_coco,30,{'nonzero_0': [[20267]]}
#166,bbox_r50_grid_fpn_gn-neck+head_1x_coco,6,{'nonzero_0': [[18672]]}
#167,bbox_r50_grid_fpn_gn-neck+head_1x_coco,6,{'nonzero_0': [[18134]]}
#168,bbox_r50_grid_fpn_gn-neck+head_1x_coco,12,{'nonzero_0': [[13343]]}
#169,bbox_r50_grid_fpn_gn-neck+head_1x_coco,6,{'nonzero_0': [[22400]]}
#170,faster_rcnn_r50_pafpn_1x_coco,10,{'nonzero_0': [[242991]]}
#171,faster_rcnn_r50_pafpn_1x_coco,8,{'nonzero_0': [[217413]]}
#172,faster_rcnn_r50_pafpn_1x_coco,4,{'nonzero_0': [[364800]]}
#173,faster_rcnn_r50_pafpn_1x_coco,4,{'nonzero_0': [[91200]]}
#174,faster_rcnn_r50_pafpn_1x_coco,4,{'nonzero_0': [[22800]]}
#175,faster_rcnn_r50_pafpn_1x_coco,4,{'nonzero_0': [[5700]]}
#176,faster_rcnn_r50_pafpn_1x_coco,4,{'nonzero_0': [[1482]]}
#177,faster_rcnn_r50_pafpn_1x_coco,10,{'nonzero_0': [[1000]]}
#178,faster_rcnn_r50_pafpn_1x_coco,6,{'nonzero_0': [[1004]]}
#179,faster_rcnn_r50_pafpn_1x_coco,20,{'nonzero_0': [[1024]]}
#180,faster_rcnn_r50_pafpn_1x_coco,2,{'nonzero_0': [[211038]]}
#181,faster_rcnn_r50_pafpn_1x_coco,1,{'nonzero_0': [[326400]]}
#182,faster_rcnn_r50_pafpn_1x_coco,1,{'nonzero_0': [[81600]]}
#183,faster_rcnn_r50_pafpn_1x_coco,1,{'nonzero_0': [[20400]]}
#184,faster_rcnn_r50_pafpn_1x_coco,1,{'nonzero_0': [[5100]]}
#185,faster_rcnn_r50_pafpn_1x_coco,1,{'nonzero_0': [[1326]]}
#186,faster_rcnn_r50_pafpn_1x_coco,2,{'nonzero_0': [[1002]]}
#187,faster_rcnn_r50_pafpn_1x_coco,2,{'nonzero_0': [[1012]]}
#188,faster_rcnn_r50_pafpn_1x_coco,2,{'nonzero_0': [[1005]]}
#189,faster_rcnn_r50_pafpn_1x_coco,4,{'nonzero_0': [[1001]]}
#190,faster_rcnn_r50_pafpn_1x_coco,2,{'nonzero_0': [[1009]]}
#191,faster_rcnn_r50_pafpn_1x_coco,2,{'nonzero_0': [[1019]]}
#192,bytetrack_yolox_x_crowdhuman_mot17-private-half,40,{'nonzero_0': [[23625]]}
#193,rpn_r101_fpn_1x_coco,2,{'nonzero_0': [[219592]]}
#194,rpn_r101_fpn_1x_coco,2,{'nonzero_0': [[224826]]}
