id,source_neural_network,num_of_calls,parameters
#0,ann_r101-d8_769x769_40k_cityscapes,20,"{'dim': [[False]], 'tensor0': [[2, 256, 1]], 'tensor1': [[2, 256, 9]], 'tensor2': [[2, 256, 36]], 'tensor3': [[2, 256, 64]]}"
#1,ccnet_r50-d8_769x769_40k_cityscapes,10,"{'dim': [[False]], 'tensor0': [[2, 97, 97, 97]], 'tensor1': [[2, 97, 97, 97]]}"
#2,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--scnet50_coco_256x192.py,15,"{'dim': [[False]], 'tensor0': [[2, 32, 64, 48]], 'tensor1': [[2, 32, 64, 48]]}"
#3,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--scnet50_coco_256x192.py,20,"{'dim': [[False]], 'tensor0': [[2, 64, 32, 24]], 'tensor1': [[2, 64, 32, 24]]}"
#4,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--scnet50_coco_256x192.py,30,"{'dim': [[False]], 'tensor0': [[2, 128, 16, 12]], 'tensor1': [[2, 128, 16, 12]]}"
#5,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--scnet50_coco_256x192.py,15,"{'dim': [[False]], 'tensor0': [[2, 256, 8, 6]], 'tensor1': [[2, 256, 8, 6]]}"
#6,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,23,"{'dim': [[False]], 'tensor0': [[2, 9, 46, 62]], 'tensor1': [[2, 9, 46, 62]]}"
#7,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,23,"{'dim': [[False]], 'tensor0': [[2, 9, 64, 48]], 'tensor1': [[2, 9, 64, 48]]}"
#8,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,23,"{'dim': [[False]], 'tensor0': [[2, 9, 38, 52]], 'tensor1': [[2, 9, 38, 52]]}"
#9,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,23,"{'dim': [[False]], 'tensor0': [[2, 9, 40, 72]], 'tensor1': [[2, 9, 40, 72]]}"
