id,source_neural_network,num_of_calls,parameters
#0,ann_r101-d8_769x769_40k_cityscapes,5,"{'dim': [[False]], 'tensor0': [[2, 2048, 97, 97]]}"
#1,ann_r101-d8_769x769_40k_cityscapes,5,"{'dim': [[False]], 'tensor0': [[2, 512, 97, 97]]}"
#2,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,5,"{'dim': [[False]], 'tensor0': [[1]], 'tensor1': [[1]], 'tensor2': [[1]], 'tensor3': [[1]]}"
#3,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[11408]], 'tensor1': [[11408]], 'tensor2': [[11408]], 'tensor3': [[11408]]}"
#4,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[22816]], 'tensor1': [[22816]]}"
#5,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[-1]], 'tensor0': [[22816]], 'tensor1': [[22816]], 'tensor2': [[22816]], 'tensor3': [[22816]]}"
#6,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[2852]], 'tensor1': [[2852]], 'tensor2': [[2852]], 'tensor3': [[2852]]}"
#7,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[5704]], 'tensor1': [[5704]]}"
#8,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[-1]], 'tensor0': [[5704]], 'tensor1': [[5704]], 'tensor2': [[5704]], 'tensor3': [[5704]]}"
#9,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[713]], 'tensor1': [[713]], 'tensor2': [[713]], 'tensor3': [[713]]}"
#10,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[1426]], 'tensor1': [[1426]]}"
#11,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[-1]], 'tensor0': [[1426]], 'tensor1': [[1426]], 'tensor2': [[1426]], 'tensor3': [[1426]]}"
#12,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'dim': [[False]], 'tensor0': [[192]], 'tensor1': [[192]], 'tensor2': [[192]], 'tensor3': [[192]]}"
#13,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[384]], 'tensor1': [[384]]}"
#14,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[-1]], 'tensor0': [[384]], 'tensor1': [[384]], 'tensor2': [[384]], 'tensor3': [[384]]}"
#15,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'dim': [[False]], 'tensor0': [[48]], 'tensor1': [[48]], 'tensor2': [[48]], 'tensor3': [[48]]}"
#16,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[96]], 'tensor1': [[96]]}"
#17,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[-1]], 'tensor0': [[96]], 'tensor1': [[96]], 'tensor2': [[96]], 'tensor3': [[96]]}"
#18,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[1]], 'tensor1': [[1]]}"
#19,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[15213]], 'tensor1': [[15213]]}"
#20,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[45, 1]], 'tensor1': [[45, 1]], 'tensor2': [[45, 1]], 'tensor3': [[45, 1]]}"
#21,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[3]], 'tensor1': [[3]]}"
#22,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[8349]], 'tensor1': [[8349]]}"
#23,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[45, 3]], 'tensor1': [[45, 3]], 'tensor2': [[45, 3]], 'tensor3': [[45, 3]]}"
#24,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[0]], 'tensor0': [[15213, 4]], 'tensor1': [[15213, 4]]}"
#25,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'dim': [[0]], 'tensor0': [[15213]], 'tensor1': [[15213]]}"
#26,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'dim': [[False]], 'tensor0': [[18]], 'tensor1': [[18]]}"
#27,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[21]], 'tensor1': [[21]]}"
#28,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[12288]], 'tensor1': [[12288]], 'tensor2': [[12288]], 'tensor3': [[12288]]}"
#29,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[24576]], 'tensor1': [[24576]]}"
#30,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[-1]], 'tensor0': [[24576]], 'tensor1': [[24576]], 'tensor2': [[24576]], 'tensor3': [[24576]]}"
#31,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[3072]], 'tensor1': [[3072]], 'tensor2': [[3072]], 'tensor3': [[3072]]}"
#32,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[6144]], 'tensor1': [[6144]]}"
#33,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[-1]], 'tensor0': [[6144]], 'tensor1': [[6144]], 'tensor2': [[6144]], 'tensor3': [[6144]]}"
#34,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'dim': [[False]], 'tensor0': [[768]], 'tensor1': [[768]], 'tensor2': [[768]], 'tensor3': [[768]]}"
#35,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[1536]], 'tensor1': [[1536]]}"
#36,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[-1]], 'tensor0': [[1536]], 'tensor1': [[1536]], 'tensor2': [[1536]], 'tensor3': [[1536]]}"
#37,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[8]], 'tensor1': [[8]]}"
#38,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[10539]], 'tensor1': [[10539]]}"
#39,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[45, 8]], 'tensor1': [[45, 8]], 'tensor2': [[45, 8]], 'tensor3': [[45, 8]]}"
#40,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'dim': [[False]], 'tensor0': [[6]], 'tensor1': [[6]]}"
#41,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'dim': [[False]], 'tensor0': [[16368]], 'tensor1': [[16368]]}"
