id,source_neural_network,num_of_calls,parameters
#0,maml_conv4_1xb105_cub_5way-5shot,5,"{'input_tensor': [[25]], 'dim': [[0]]}"
#1,maml_conv4_1xb105_cub_5way-5shot,5,"{'input_tensor': [[80]], 'dim': [[0]]}"
#2,master_toy_dataset,30,"{'input_tensor': [[180]], 'dim': [[0]]}"
#3,meta-baseline_conv4_1xb100_cub_5way-1shot,5,"{'input_tensor': [[50]], 'dim': [[0]]}"
#4,attention-rpn_r50_c4_voc-split1_base-training,10,"{'input_tensor': [[1]], 'dim': [[0]]}"
#5,efficientnet-b0_8xb32_cifar10,1,"{'input_tensor': [[16]], 'dim': [[0]]}"
#6,ddpm_cosine_hybird_timestep-4k_drop0.3_cifar10_32x32_b8x16_500k,5,"{'input_tensor': [[1, 16]], 'dim': [[0]]}"
#7,dmnet_r50-d8_512x512_160k_ade20k,25,"{'input_tensor': [[1, 2048, 64, 64]], 'dim': [[0]]}"
#8,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[74]], 'dim': [[0]]}"
#9,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[1, 1, 1]], 'dim': [[0]]}"
#10,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[1, 1]], 'dim': [[0]]}"
#11,dmnet_r50-d8_512x512_160k_ade20k,10,"{'input_tensor': [[6]], 'dim': [[0]]}"
#12,dmnet_r50-d8_512x512_160k_ade20k,5,"{'input_tensor': [[1, 2048, 66, 66]], 'dim': [[0]]}"
#13,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[48]], 'dim': [[0]]}"
#14,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[1, 3, 3]], 'dim': [[0]]}"
#15,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[3, 3]], 'dim': [[0]]}"
#16,dmnet_r50-d8_512x512_160k_ade20k,10,"{'input_tensor': [[54]], 'dim': [[0]]}"
#17,dmnet_r50-d8_512x512_160k_ade20k,5,"{'input_tensor': [[1, 2048, 68, 68]], 'dim': [[0]]}"
#18,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[16]], 'dim': [[0]]}"
#19,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[1, 5, 5]], 'dim': [[0]]}"
#20,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[5, 5]], 'dim': [[0]]}"
#21,dmnet_r50-d8_512x512_160k_ade20k,10,"{'input_tensor': [[150]], 'dim': [[0]]}"
#22,dmnet_r50-d8_512x512_160k_ade20k,5,"{'input_tensor': [[1, 2048, 70, 70]], 'dim': [[0]]}"
#23,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[1, 7, 7]], 'dim': [[0]]}"
#24,dmnet_r50-d8_512x512_160k_ade20k,10,"{'input_tensor': [[216]], 'dim': [[0]]}"
#25,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[81]], 'dim': [[0]]}"
#26,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[43]], 'dim': [[0]]}"
#27,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[10]], 'dim': [[0]]}"
#28,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[78]], 'dim': [[0]]}"
#29,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[30]], 'dim': [[0]]}"
#30,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[86]], 'dim': [[0]]}"
#31,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[35]], 'dim': [[0]]}"
#32,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[17]], 'dim': [[0]]}"
#33,dmnet_r50-d8_512x512_160k_ade20k,6,"{'input_tensor': [[92]], 'dim': [[0]]}"
#34,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[42]], 'dim': [[0]]}"
#35,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[19]], 'dim': [[0]]}"
#36,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[112]], 'dim': [[0]]}"
#37,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[137]], 'dim': [[0]]}"
#38,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[127]], 'dim': [[0]]}"
#39,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[96]], 'dim': [[0]]}"
#40,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[91]], 'dim': [[0]]}"
#41,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[135]], 'dim': [[0]]}"
#42,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[125]], 'dim': [[0]]}"
#43,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[93]], 'dim': [[0]]}"
#44,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[132]], 'dim': [[0]]}"
#45,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[116]], 'dim': [[0]]}"
#46,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[105]], 'dim': [[0]]}"
#47,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[131]], 'dim': [[0]]}"
#48,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[99]], 'dim': [[0]]}"
#49,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--pvt-s_coco_256x192.py,1,"{'input_tensor': [[16]], 'dim': [[0]]}"
#50,yolact_r50_8x8_coco,5,"{'input_tensor': [[8, 19248, 81]], 'dim': [[0]]}"
#51,yolact_r50_8x8_coco,15,"{'input_tensor': [[8, 19248, 4]], 'dim': [[0]]}"
#52,yolact_r50_8x8_coco,10,"{'input_tensor': [[8, 19248]], 'dim': [[0]]}"
#53,decoupled_solo_r50_fpn_1x_coco,7,"{'input_tensor': [[1, 800, 1088]], 'dim': [[0]]}"
#54,decoupled_solo_r50_fpn_1x_coco,76,"{'input_tensor': [[1]], 'dim': [[0]]}"
#55,decoupled_solo_r50_fpn_1x_coco,4,"{'input_tensor': [[2, 800, 1088]], 'dim': [[0]]}"
#56,decoupled_solo_r50_fpn_1x_coco,24,"{'input_tensor': [[2]], 'dim': [[0]]}"
#57,decoupled_solo_r50_fpn_1x_coco,1,"{'input_tensor': [[3, 800, 1088]], 'dim': [[0]]}"
#58,decoupled_solo_r50_fpn_1x_coco,16,"{'input_tensor': [[3]], 'dim': [[0]]}"
#59,decoupled_solo_r50_fpn_1x_coco,2,"{'input_tensor': [[1, 800, 1120]], 'dim': [[0]]}"
#60,decoupled_solo_r50_fpn_1x_coco,1,"{'input_tensor': [[2, 800, 1216]], 'dim': [[0]]}"
#61,decoupled_solo_r50_fpn_1x_coco,1,"{'input_tensor': [[4, 800, 1216]], 'dim': [[0]]}"
#62,decoupled_solo_r50_fpn_1x_coco,4,"{'input_tensor': [[4]], 'dim': [[0]]}"
