item_0,item_1,item_2,item_3,item_4,time_cost
"[2, 256, 50, 76]",32,[256],[256],1e-05,6.937980651855469e-05
"[2, 256, 25, 38]",32,[256],[256],1e-05,5.6743621826171875e-05
"[2, 256, 7, 10]",32,[256],[256],1e-05,4.1961669921875e-05
"[2, 256, 100, 152]",32,[256],[256],1e-05,7.82012939453125e-05
"[2, 256, 7, 9]",32,[256],[256],1e-05,4.696846008300781e-05
"[2, 256, 13, 19]",32,[256],[256],1e-05,4.649162292480469e-05
"[2, 256, 50, 84]",32,[256],[256],1e-05,4.553794860839844e-05
"[16, 256, 4, 4]",32,[256],[256],1e-05,4.363059997558594e-05
"[8, 320, 14, 14]",1,[320],[320],1e-05,4.291534423828125e-05
"[1024, 256, 7, 7]",32,[256],[256],1e-05,8.821487426757812e-05
