item_0,item_1,item_2,item_3,item_4,time_cost
"[4, 784, 192]",[192],[192],[192],1e-05,3.8623809814453125e-05
"[420, 1, 256]",[256],[256],[256],1e-05,3.0517578125e-05
"[1, 13600, 192]",[192],[192],[192],1e-05,0.00044226646423339844
"[525, 1, 256]",[256],[256],[256],1e-05,3.409385681152344e-05
"[4, 197, 768]",[768],[768],[768],1e-06,3.0279159545898438e-05
"[1, 54400, 96]",[96],[96],[96],1e-05,0.00034689903259277344
"[1, 850, 1536]",[1536],[1536],[1536],1e-05,4.8160552978515625e-05
"[4, 784, 384]",[384],[384],[384],1e-05,3.933906555175781e-05
"[4, 49, 1536]",[1536],[1536],[1536],1e-05,3.528594970703125e-05
"[418, 1, 256]",[256],[256],[256],1e-05,3.361701965332031e-05
"[1, 3800, 768]",[768],[768],[768],1e-05,5.14984130859375e-05
"[1, 13600, 384]",[384],[384],[384],1e-05,6.437301635742188e-05
"[1, 15200, 384]",[384],[384],[384],1e-05,0.00036072731018066406
"[1, 3400, 768]",[768],[768],[768],1e-05,5.221366882324219e-05
"[1, 60800, 96]",[96],[96],[96],1e-05,5.745887756347656e-05
"[506, 1, 256]",[256],[256],[256],1e-05,3.886222839355469e-05
"[660, 1, 256]",[256],[256],[256],1e-05,3.1948089599609375e-05
"[100, 1, 256]",[256],[256],[256],1e-05,2.8848648071289062e-05
"[1, 3400, 384]",[384],[384],[384],1e-05,3.24249267578125e-05
"[2, 1025, 768]",[768],[768],[768],1e-06,3.528594970703125e-05
"[270, 1, 256]",[256],[256],[256],1e-05,3.1948089599609375e-05
"[4, 49, 768]",[768],[768],[768],1e-05,3.075599670410156e-05
"[1, 950, 1536]",[1536],[1536],[1536],1e-05,3.2901763916015625e-05
"[1, 950, 768]",[768],[768],[768],1e-05,3.147125244140625e-05
"[4, 196, 768]",[768],[768],[768],1e-05,3.0517578125e-05
"[624, 1, 256]",[256],[256],[256],1e-05,3.0279159545898438e-05
"[700, 1, 256]",[256],[256],[256],1e-05,2.9325485229492188e-05
"[1, 15200, 192]",[192],[192],[192],1e-05,4.0531158447265625e-05
"[4, 196, 384]",[384],[384],[384],1e-05,3.361701965332031e-05
"[720, 1, 256]",[256],[256],[256],1e-05,3.2901763916015625e-05
"[4, 3136, 96]",[96],[96],[96],1e-05,3.2901763916015625e-05
"[1, 850, 768]",[768],[768],[768],1e-05,3.1948089599609375e-05
"[1, 3800, 384]",[384],[384],[384],1e-05,3.600120544433594e-05
