item_0,item_1,item_2,item_3,time_cost
"[1, 512, 1024]",19,0,18,0.005689382553100586
"[1, 512, 512]",21,0,20,6.389617919921875e-05
"[1, 512, 512]",150,0,149,8.654594421386719e-05
"[1, 512, 512]",150,0,149,7.271766662597656e-05
"[1, 512, 512]",21,0,20,5.91278076171875e-05
"[1, 512, 512]",150,0,149,6.914138793945312e-05
"[1, 512, 512]",150,0,149,6.866455078125e-05
"[1, 512, 512]",150,0,149,6.794929504394531e-05
"[1, 512, 1024]",19,0,18,5.8650970458984375e-05
"[1, 512, 1024]",19,0,18,5.936622619628906e-05
"[1, 512, 512]",21,0,20,5.817413330078125e-05
"[1, 512, 512]",21,0,20,5.936622619628906e-05
"[1, 769, 769]",19,0,18,5.984306335449219e-05
"[1, 512, 512]",150,0,149,6.937980651855469e-05
"[1, 769, 769]",19,0,18,5.7697296142578125e-05
"[1, 769, 769]",19,0,18,5.8650970458984375e-05
"[1, 512, 1024]",19,0,18,5.650520324707031e-05
"[1, 769, 769]",19,0,18,5.7697296142578125e-05
"[1, 512, 512]",150,0,149,6.866455078125e-05
"[1, 512, 1024]",19,0,18,5.793571472167969e-05
"[1, 512, 1024]",19,0,18,5.745887756347656e-05
