item_0,item_1,item_2,item_3,item_4,item_5,item_6,time_cost
"[2, 256, 64, 64]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0027778148651123047
"[48, 256, 14, 14]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0061187744140625
"[48, 1024, 14, 14]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.002429485321044922
"[48, 256, 14, 14]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.002198457717895508
"[32, 512, 6, 40]","[512, 512, 3, 3]",[512],"[1, 1]","[1, 1]","[1, 1]",[1],0.015705347061157227
"[32, 256, 12, 40]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.004216909408569336
"[32, 512, 6, 40]","[512, 512, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.015420913696289062
"[32, 32, 64, 48]","[32, 32, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0004520416259765625
"[32, 128, 16, 12]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0013988018035888672
"[32, 64, 32, 24]","[64, 64, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0005748271942138672
