id,source_neural_network,num_of_calls,parameters,running_time
#0,configs--face--2d_kpt_sview_rgb_img--topdown_heatmap--wflw--hrnetv2_w18_wflw_256x256_awing.py,5,"{'condition': [[2, 98, 64, 64]], 'tensor1': [[2, 98, 64, 64]], 'tensor2': [[2, 98, 64, 64]]}",2.1636486053466797e-05
#1,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'condition': [[2, 4, 92, 124]], 'tensor1': [[2, 4, 92, 124]], 'tensor2': [[2, 4, 92, 124]]}",2.494335174560547e-05
#2,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'condition': [[2, 4, 46, 62]], 'tensor1': [[2, 4, 46, 62]], 'tensor2': [[2, 4, 46, 62]]}",1.798868179321289e-05
#3,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'condition': [[2, 4, 23, 31]], 'tensor1': [[2, 4, 23, 31]], 'tensor2': [[2, 4, 23, 31]]}",1.7528533935546874e-05
#4,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'condition': [[2, 4, 12, 16]], 'tensor1': [[2, 4, 12, 16]], 'tensor2': [[2, 4, 12, 16]]}",1.7604827880859376e-05
#5,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'condition': [[2, 4, 6, 8]], 'tensor1': [[2, 4, 6, 8]], 'tensor2': [[2, 4, 6, 8]]}",1.7940998077392578e-05
#6,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'condition': [[2, 4, 128, 96]], 'tensor1': [[2, 4, 128, 96]], 'tensor2': [[2, 4, 128, 96]]}",2.126932144165039e-05
#7,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'condition': [[2, 4, 64, 48]], 'tensor1': [[2, 4, 64, 48]], 'tensor2': [[2, 4, 64, 48]]}",2.071380615234375e-05
#8,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'condition': [[2, 4, 32, 24]], 'tensor1': [[2, 4, 32, 24]], 'tensor2': [[2, 4, 32, 24]]}",1.9783973693847657e-05
#9,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'condition': [[2, 4, 16, 12]], 'tensor1': [[2, 4, 16, 12]], 'tensor2': [[2, 4, 16, 12]]}",1.8045902252197265e-05
