item_0,item_1,item_2,item_3,item_4,time_cost
"[4, 784, 192]",[192],[192],[192],1e-05,3.743171691894531e-05
"[420, 1, 256]",[256],[256],[256],1e-05,3.409385681152344e-05
"[1, 13600, 192]",[192],[192],[192],1e-05,4.744529724121094e-05
"[525, 1, 256]",[256],[256],[256],1e-05,3.361701965332031e-05
"[4, 197, 768]",[768],[768],[768],1e-06,3.4332275390625e-05
"[1, 54400, 96]",[96],[96],[96],1e-05,8.058547973632812e-05
"[1, 850, 1536]",[1536],[1536],[1536],1e-05,4.5299530029296875e-05
"[4, 784, 384]",[384],[384],[384],1e-05,3.504753112792969e-05
"[4, 49, 1536]",[1536],[1536],[1536],1e-05,3.409385681152344e-05
"[418, 1, 256]",[256],[256],[256],1e-05,3.2901763916015625e-05
"[1, 3800, 768]",[768],[768],[768],1e-05,5.9604644775390625e-05
"[1, 13600, 384]",[384],[384],[384],1e-05,7.915496826171875e-05
"[1, 15200, 384]",[384],[384],[384],1e-05,7.843971252441406e-05
"[1, 3400, 768]",[768],[768],[768],1e-05,6.389617919921875e-05
"[1, 60800, 96]",[96],[96],[96],1e-05,7.867813110351562e-05
"[506, 1, 256]",[256],[256],[256],1e-05,3.409385681152344e-05
"[660, 1, 256]",[256],[256],[256],1e-05,3.361701965332031e-05
"[100, 1, 256]",[256],[256],[256],1e-05,3.24249267578125e-05
"[1, 3400, 384]",[384],[384],[384],1e-05,3.4809112548828125e-05
"[2, 1025, 768]",[768],[768],[768],1e-06,3.4809112548828125e-05
"[270, 1, 256]",[256],[256],[256],1e-05,3.314018249511719e-05
"[4, 49, 768]",[768],[768],[768],1e-05,3.4332275390625e-05
"[1, 950, 1536]",[1536],[1536],[1536],1e-05,3.62396240234375e-05
"[1, 950, 768]",[768],[768],[768],1e-05,3.4332275390625e-05
"[4, 196, 768]",[768],[768],[768],1e-05,3.337860107421875e-05
"[624, 1, 256]",[256],[256],[256],1e-05,3.314018249511719e-05
"[700, 1, 256]",[256],[256],[256],1e-05,3.266334533691406e-05
"[1, 15200, 192]",[192],[192],[192],1e-05,5.4836273193359375e-05
"[4, 196, 384]",[384],[384],[384],1e-05,3.409385681152344e-05
"[720, 1, 256]",[256],[256],[256],1e-05,3.24249267578125e-05
"[4, 3136, 96]",[96],[96],[96],1e-05,3.4332275390625e-05
"[1, 850, 768]",[768],[768],[768],1e-05,3.3855438232421875e-05
"[1, 3800, 384]",[384],[384],[384],1e-05,3.4332275390625e-05
