item_0,item_1,item_2,item_3,item_4,time_cost
"[64, 1600]",,,,,7.534027099609375e-05
"[164, 256]",2,1,,,7.677078247070312e-05
"[32, 512]",2,1,,,7.224082946777344e-05
"[192, 36]",,,,,7.581710815429688e-05
"[32, 128]",,1,,,6.866455078125e-05
"[9, 1600, 2304]",,2,,,0.0001621246337890625
"[2, 512, 64]",2,1,,,8.034706115722656e-05
"[57, 256]",2,1,,,7.653236389160156e-05
"[32, 2048, 49]",,1,,,0.00015616416931152344
"[1, 150, 1024]",2,2,,,7.915496826171875e-05
"[256, 128]",2,1,,,8.20159912109375e-05
"[109, 52]",,,,,7.2479248046875e-05
"[148, 36]",,,,,7.128715515136719e-05
"[96, 256]",2,1,,,7.224082946777344e-05
"[1, 1600, 1024]",2,2,,,7.891654968261719e-05
"[79, 256]",2,1,,,7.963180541992188e-05
"[32, 2048]",,1,,,7.200241088867188e-05
"[80, 256]",2,1,,,7.2479248046875e-05
"[25, 1600]",,,,,7.510185241699219e-05
"[5782, 256]",,,,,7.510185241699219e-05
"[3409, 256]",,,,,7.462501525878906e-05
"[9448, 256]",,,,,8.082389831542969e-05
"[2, 9409, 64]",1,1,,,0.0001239776611328125
"[1, 1024, 192]",2,2,,,7.581710815429688e-05
"[1, 512, 64]",2,1,,,7.510185241699219e-05
"[256, 256]",,1,,,7.43865966796875e-05
"[2, 8192, 64]",1,1,,,8.487701416015625e-05
"[109, 36]",,,,,7.343292236328125e-05
"[86, 256]",2,1,,,7.200241088867188e-05
"[43, 256]",2,1,,,7.128715515136719e-05
"[3397, 256]",,,,,7.510185241699219e-05
"[128, 256]",,1,,,9.274482727050781e-05
"[80, 1600]",,,,,7.319450378417969e-05
"[32, 512]",2,-1,,,7.009506225585938e-05
"[128, 65536]",,0,,,0.0001728534698486328
"[192, 52]",,,,,7.414817810058594e-05
"[38, 256]",2,1,,,7.152557373046875e-05
"[23, 256]",2,1,,,6.985664367675781e-05
"[3000, 128]",2,1,,,7.510185241699219e-05
"[115, 52]",,,,,7.104873657226562e-05
"[6042, 256]",,,,,7.414817810058594e-05
"[236, 256]",2,1,,,7.176399230957031e-05
"[100, 1600]",,,,,7.295608520507812e-05
"[244, 256]",2,1,,,8.106231689453125e-05
"[10, 1600]",,,,,7.176399230957031e-05
"[29, 256]",2,1,,,6.961822509765625e-05
"[176, 256]",2,1,,,7.2479248046875e-05
"[68, 256]",2,1,,,7.033348083496094e-05
"[32, 128, 49]",,1,,,7.605552673339844e-05
"[256, 256]",2,1,,,7.152557373046875e-05
"[160, 256]",2,1,,,7.176399230957031e-05
"[192, 256]",2,1,,,7.677078247070312e-05
"[50, 1600]",,,,,7.176399230957031e-05
"[115, 36]",,,,,7.677078247070312e-05
"[148, 52]",,,,,7.581710815429688e-05
"[32, 32, 512]",2,2,,,7.534027099609375e-05
"[1, 150, 192]",2,2,,,7.176399230957031e-05
"[1281167, 128]",,,,,0.0001628398895263672
"[32, 128]",,,,,8.082389831542969e-05
"[48, 256]",2,1,,,7.43865966796875e-05
"[9, 2304, 1600]",,1,,,0.0002613067626953125
