id,source_neural_network,num_of_calls,parameters,running_time
#0,configs--animal--2d_kpt_sview_rgb_img--topdown_heatmap--horse10--hrnet_w48_horse10_256x256-split2.py,6,"{'input_shape': [[2, 22, 64, 64]], 'reshape_shape': [[2, 22, -1]]}",6.234645843505859e-06
#1,configs--animal--2d_kpt_sview_rgb_img--topdown_heatmap--horse10--hrnet_w48_horse10_256x256-split2.py,4,"{'input_shape': [[1, 22, 64, 64]], 'reshape_shape': [[1, 22, -1]]}",5.846023559570312e-06
#2,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,1,"{'input_shape': [[1, 1777844]], 'reshape_shape': [[-1]]}",5.910396575927734e-06
#3,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,1,"{'input_shape': [[1, 1957690]], 'reshape_shape': [[-1]]}",5.4860115051269535e-06
#4,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,1,"{'input_shape': [[1, 2042390]], 'reshape_shape': [[-1]]}",5.4168701171875e-06
#5,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,1,"{'input_shape': [[1, 2010910]], 'reshape_shape': [[-1]]}",5.538463592529297e-06
#6,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,1,"{'input_shape': [[1, 2007553]], 'reshape_shape': [[-1]]}",3.6215782165527343e-06
#7,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_shape': [[2, 256, 97, 97]], 'reshape_shape': [[2, 256, -1]]}",5.810260772705078e-06
#8,ann_r101-d8_769x769_40k_cityscapes,20,"{'input_shape': [[2, 256, 110]], 'reshape_shape': [[2, 256, -1]]}",4.909038543701172e-06
#9,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_shape': [[2, 256, 9409]], 'reshape_shape': [[2, -1, 97, 97]]}",3.731250762939453e-06
#10,ann_r101-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1094395]], 'reshape_shape': [[-1]]}",3.7407875061035155e-06
#11,ann_r101-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1172078]], 'reshape_shape': [[-1]]}",3.4928321838378907e-06
#12,ann_r101-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1149756]], 'reshape_shape': [[-1]]}",3.535747528076172e-06
#13,ann_r101-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1116259]], 'reshape_shape': [[-1]]}",3.5071372985839846e-06
#14,ann_r101-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1163133]], 'reshape_shape': [[-1]]}",5.8746337890625e-06
#15,ccnet_r50-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1093700]], 'reshape_shape': [[-1]]}",4.0125846862792965e-06
#16,ccnet_r50-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1150096]], 'reshape_shape': [[-1]]}",3.4236907958984374e-06
#17,ccnet_r50-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1157508]], 'reshape_shape': [[-1]]}",3.452301025390625e-06
#18,ccnet_r50-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1049699]], 'reshape_shape': [[-1]]}",3.337860107421875e-06
#19,ccnet_r50-d8_769x769_40k_cityscapes,2,"{'input_shape': [[1, 1172174]], 'reshape_shape': [[-1]]}",3.4570693969726562e-06
#20,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--scnet50_coco_256x192.py,10,"{'input_shape': [[2, 17, 64, 48]], 'reshape_shape': [[2, 17, -1]]}",3.31878662109375e-06
#21,pspnet_r101-d8_512x1024_40k_cityscapes,2,"{'input_shape': [[1, 1037367]], 'reshape_shape': [[-1]]}",3.3116340637207033e-06
#22,pspnet_r101-d8_512x1024_40k_cityscapes,2,"{'input_shape': [[1, 1034789]], 'reshape_shape': [[-1]]}",3.3736228942871095e-06
#23,pspnet_r101-d8_512x1024_40k_cityscapes,2,"{'input_shape': [[1, 1006411]], 'reshape_shape': [[-1]]}",3.3116340637207033e-06
#24,pspnet_r101-d8_512x1024_40k_cityscapes,2,"{'input_shape': [[1, 1033579]], 'reshape_shape': [[-1]]}",3.3783912658691406e-06
#25,pspnet_r101-d8_512x1024_40k_cityscapes,2,"{'input_shape': [[1, 1005386]], 'reshape_shape': [[-1]]}",3.35693359375e-06
#26,configs--animal--2d_kpt_sview_rgb_img--topdown_heatmap--animalpose--res101_animalpose_256x256.py,10,"{'input_shape': [[2, 20, 64, 64]], 'reshape_shape': [[2, 20, -1]]}",3.5715103149414064e-06
#27,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,50,"{'input_shape': [[2, 6, 1, 1]], 'reshape_shape': [[2, 1, 6, 1]]}",3.020763397216797e-06
#28,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,50,"{'input_shape': [[256, 1536, 1, 1]], 'reshape_shape': [[1, 256, 6, 256]]}",3.31878662109375e-06
#29,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,50,"{'input_shape': [[2, 256, 6, 256]], 'reshape_shape': [[2, 256, 1536]]}",3.4809112548828124e-06
#30,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 1536, 92, 124]], 'reshape_shape': [[2, 1536, 11408]]}",3.862380981445312e-06
#31,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 256, 11408]], 'reshape_shape': [[2, 256, 92, 124]]}",3.018379211425781e-05
#32,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 92, 124, 4]], 'reshape_shape': [[-1, 4]]}",3.7884712219238283e-06
#33,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[22816, 4]], 'reshape_shape': [[2, 92, 124, 4]]}",3.3307075500488283e-06
#34,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 1536, 46, 62]], 'reshape_shape': [[2, 1536, 2852]]}",3.848075866699219e-06
#35,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 256, 2852]], 'reshape_shape': [[2, 256, 46, 62]]}",3.6406517028808593e-06
#36,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 46, 62, 4]], 'reshape_shape': [[-1, 4]]}",3.0517578125e-06
#37,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[5704, 4]], 'reshape_shape': [[2, 46, 62, 4]]}",2.9659271240234374e-06
#38,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 1536, 23, 31]], 'reshape_shape': [[2, 1536, 713]]}",3.6962032318115235e-05
#39,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 256, 713]], 'reshape_shape': [[2, 256, 23, 31]]}",4.396438598632813e-06
#40,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 23, 31, 4]], 'reshape_shape': [[-1, 4]]}",4.0555000305175785e-06
#41,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[1426, 4]], 'reshape_shape': [[2, 23, 31, 4]]}",3.98397445678711e-06
#42,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 1536, 12, 16]], 'reshape_shape': [[2, 1536, 192]]}",4.138946533203125e-06
#43,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 256, 192]], 'reshape_shape': [[2, 256, 12, 16]]}",4.186630249023437e-06
#44,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 12, 16, 4]], 'reshape_shape': [[-1, 4]]}",3.952980041503906e-06
#45,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[384, 4]], 'reshape_shape': [[2, 12, 16, 4]]}",4.038810729980469e-06
#46,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 1536, 6, 8]], 'reshape_shape': [[2, 1536, 48]]}",4.138946533203125e-06
#47,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 256, 48]], 'reshape_shape': [[2, 256, 6, 8]]}",4.06026840209961e-06
#48,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 6, 8, 4]], 'reshape_shape': [[-1, 4]]}",3.952980041503906e-06
#49,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[96, 4]], 'reshape_shape': [[2, 6, 8, 4]]}",3.972053527832031e-06
#50,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 92, 124, 80]], 'reshape_shape': [[2, -1, 80]]}",4.072189331054687e-06
#51,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 46, 62, 80]], 'reshape_shape': [[2, -1, 80]]}",4.09841537475586e-06
#52,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 23, 31, 80]], 'reshape_shape': [[2, -1, 80]]}",4.031658172607422e-06
#53,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 12, 16, 80]], 'reshape_shape': [[2, -1, 80]]}",4.029273986816406e-06
#54,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 6, 8, 80]], 'reshape_shape': [[2, -1, 80]]}",4.045963287353515e-06
#55,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 92, 124, 4]], 'reshape_shape': [[2, -1, 4]]}",4.026889801025391e-06
#56,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 46, 62, 4]], 'reshape_shape': [[2, -1, 4]]}",4.062652587890625e-06
#57,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 23, 31, 4]], 'reshape_shape': [[2, -1, 4]]}",3.962516784667969e-06
#58,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 12, 16, 4]], 'reshape_shape': [[2, -1, 4]]}",4.02212142944336e-06
#59,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 6, 8, 4]], 'reshape_shape': [[2, -1, 4]]}",3.986358642578125e-06
#60,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 11408, 4]], 'reshape_shape': [[-1, 4]]}",3.972053527832031e-06
#61,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 92, 124, 80]], 'reshape_shape': [[-1, 80]]}",4.107952117919922e-06
#62,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_shape': [[2, 11408]], 'reshape_shape': [[-1]]}",3.936290740966797e-06
#63,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 2852, 4]], 'reshape_shape': [[-1, 4]]}",3.9458274841308595e-06
#64,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 46, 62, 80]], 'reshape_shape': [[-1, 80]]}",4.1270256042480466e-06
#65,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_shape': [[2, 2852]], 'reshape_shape': [[-1]]}",3.855228424072266e-06
#66,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[2, 713, 4]], 'reshape_shape': [[-1, 4]]}",3.938674926757812e-06
#67,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 23, 31, 80]], 'reshape_shape': [[-1, 80]]}",3.9768218994140624e-06
#68,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_shape': [[2, 713]], 'reshape_shape': [[-1]]}",3.876686096191407e-06
#69,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_shape': [[2, 192, 4]], 'reshape_shape': [[-1, 4]]}",3.914833068847657e-06
#70,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 12, 16, 80]], 'reshape_shape': [[-1, 80]]}",3.955364227294922e-06
#71,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,6,"{'input_shape': [[2, 192]], 'reshape_shape': [[-1]]}",3.859996795654297e-06
#72,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_shape': [[2, 48, 4]], 'reshape_shape': [[-1, 4]]}",3.914833068847657e-06
#73,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[2, 6, 8, 80]], 'reshape_shape': [[-1, 80]]}",3.914833068847657e-06
