item_0,item_1,item_2,item_3,time_cost
"[1, 512, 1024]",19,0,18,5.5789947509765625e-05
"[1, 512, 512]",21,0,20,9.512901306152344e-05
"[1, 512, 512]",150,0,149,9.489059448242188e-05
"[1, 512, 512]",150,0,149,7.343292236328125e-05
"[1, 512, 512]",21,0,20,6.222724914550781e-05
"[1, 512, 512]",150,0,149,7.224082946777344e-05
"[1, 512, 512]",150,0,149,7.033348083496094e-05
"[1, 512, 512]",150,0,149,7.104873657226562e-05
"[1, 512, 1024]",19,0,18,6.008148193359375e-05
"[1, 512, 1024]",19,0,18,6.222724914550781e-05
"[1, 512, 512]",21,0,20,6.103515625e-05
"[1, 512, 512]",21,0,20,6.890296936035156e-05
"[1, 769, 769]",19,0,18,5.817413330078125e-05
"[1, 512, 512]",150,0,149,6.604194641113281e-05
"[1, 769, 769]",19,0,18,5.650520324707031e-05
"[1, 769, 769]",19,0,18,5.4836273193359375e-05
"[1, 512, 1024]",19,0,18,5.412101745605469e-05
"[1, 769, 769]",19,0,18,5.7220458984375e-05
"[1, 512, 512]",150,0,149,7.200241088867188e-05
"[1, 512, 1024]",19,0,18,6.29425048828125e-05
"[1, 512, 1024]",19,0,18,5.91278076171875e-05
