item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,time_cost
"[2, 19, 512, 1024]","[2, 512, 1024]",,,255,,none,,0.00011444091796875
"[4, 150, 512, 512]","[4, 512, 512]",,,255,,none,,0.00013589859008789062
"[2, 19, 769, 769]","[2, 769, 769]",,,255,,none,,8.559226989746094e-05
"[4, 21, 512, 512]","[4, 512, 512]",,,255,,none,,9.417533874511719e-05
"[1024, 81]",[1024],,,-100,,none,,7.128715515136719e-05
"[4, 171, 512, 512]","[4, 512, 512]",,,255,,none,,9.202957153320312e-05
"[4, 59, 480, 480]","[4, 480, 480]",,,255,,none,,8.630752563476562e-05
"[4, 60, 480, 480]","[4, 480, 480]",,,255,,none,,0.5096588134765625
"[2, 19, 832, 832]","[2, 832, 832]",,,255,,none,,8.058547973632812e-05
"[2, 150, 512, 512]","[2, 512, 512]",,,255,,none,,8.296966552734375e-05
