item_0,item_1,item_2,item_3,item_4,time_cost
"[2, 256, 50, 76]",32,[256],[256],1e-05,5.221366882324219e-05
"[2, 256, 25, 38]",32,[256],[256],1e-05,7.581710815429688e-05
"[2, 256, 7, 10]",32,[256],[256],1e-05,3.9577484130859375e-05
"[2, 256, 100, 152]",32,[256],[256],1e-05,6.747245788574219e-05
"[2, 256, 7, 9]",32,[256],[256],1e-05,4.57763671875e-05
"[2, 256, 13, 19]",32,[256],[256],1e-05,4.839897155761719e-05
"[2, 256, 50, 84]",32,[256],[256],1e-05,4.220008850097656e-05
"[16, 256, 4, 4]",32,[256],[256],1e-05,4.029273986816406e-05
"[8, 320, 14, 14]",1,[320],[320],1e-05,3.838539123535156e-05
"[1024, 256, 7, 7]",32,[256],[256],1e-05,7.534027099609375e-05
